customer_id,tenure_months,satisfaction_score,num_support_tickets,recency_days,frequency_orders,monetary_total,risk_score,churn_status
1,45,4,1,313,11,510.70333176532023,-0.5182808442180398,Retained
2,12,5,4,212,9,593.4208920967644,3.228550965080378,Churned
3,42,4,5,249,8,455.1044351795256,3.0553611682742696,Churned
4,26,4,3,204,12,803.4054908369087,1.1326461317124228,Retained
5,37,5,3,316,9,893.6255366385996,2.2433205056568224,Retained
6,43,4,4,306,8,518.1810223423894,1.7625714457352255,Retained
7,67,4,3,152,13,925.1403715430392,1.9772466316784987,Retained
8,70,4,2,343,11,595.6087823933639,2.0087330040377527,Retained
9,52,4,1,147,9,420.6396458093737,1.213311738355773,Retained
10,47,5,4,330,12,633.7276163676358,4.7182882904486565,Churned
11,48,1,2,166,8,697.8358599249708,4.530887047752103,Churned
12,6,4,0,142,8,472.55963814189215,3.2718701907887904,Churned
13,29,2,1,184,8,652.7486695747596,1.3550533877582231,Retained
14,21,4,2,330,7,286.75838042103203,2.3725351821915823,Retained
15,12,5,2,167,12,371.39633161258956,2.253950404694627,Retained
16,66,2,4,357,14,441.85962939490526,2.7700724320525705,Retained
17,54,3,1,336,10,351.16480739612473,1.49332119739898,Retained
18,39,5,5,282,9,881.3234806368866,2.779618442269804,Retained
19,24,4,2,307,17,601.8236162954659,-0.3834994861890644,Retained
20,30,3,2,181,12,622.337184495188,0.8188251725245217,Retained
21,61,4,3,325,15,84.36823953820027,2.5978268399556903,Retained
22,59,3,0,329,10,1082.1301401791357,1.8119448068917237,Retained
23,53,2,2,65,9,568.0666592604282,3.31752135534051,Churned
24,72,5,1,49,12,600.8076532067756,0.8852607023490615,Retained
25,32,5,0,107,9,65.9933990907831,0.40102245013766047,Retained
26,59,5,1,78,5,337.7772340569518,1.5569059203294857,Retained
27,15,5,1,256,15,450.2935766850719,0.6348749938179383,Retained
28,42,4,2,288,10,430.2588613619848,-0.3723508562441389,Retained
29,59,5,2,63,10,523.026571370212,2.8236332525842265,Retained
30,16,4,3,54,11,535.5504138932464,2.4798893504062187,Retained
31,50,5,2,206,11,563.8429146216243,0.8962576349230488,Retained
32,17,3,2,28,8,547.7135208427909,1.3903974947447129,Retained
33,32,5,1,15,8,405.3531841631685,0.3019637403996821,Retained
34,12,4,2,116,8,559.4664269450523,2.7356252989026135,Retained
35,4,4,4,239,13,604.6199700625833,1.8029330932258565,Retained
36,5,3,3,67,7,620.8087565637804,4.113642311116142,Churned
37,22,5,0,157,7,776.7626595673001,0.22078408752719247,Retained
38,19,1,2,150,15,211.6497877252777,3.5340941898117757,Churned
39,59,5,1,136,11,63.627503639427175,-0.05962120365810686,Retained
40,26,4,4,347,5,501.29144829863225,2.0413316719677614,Retained
41,48,4,0,151,8,324.09523006689886,-0.06141851166389034,Retained
42,25,3,3,323,11,371.8597011576751,3.1428628363975033,Churned
43,32,4,5,356,9,505.2449866752264,2.8873784541206864,Retained
44,2,4,1,238,11,589.594067150863,4.370179884700573,Churned
45,54,5,2,169,13,464.06655628716885,1.6080291703732839,Retained
46,70,3,3,295,10,400.25262056785465,3.68742829743874,Churned
47,31,3,4,90,7,732.860578884389,4.273217088755742,Churned
48,24,1,1,55,11,19.352986497339487,4.6211802256808445,Churned
49,13,5,4,202,8,218.74314792043685,3.6385815049897374,Churned
50,5,5,1,184,10,188.50494246693506,3.139312813929465,Churned
51,66,4,1,51,6,610.9704552542532,0.8299597681400734,Retained
